"ASX code","Company name","GICs industry group","Listing date","Market Cap"
"EMV","EMVISION MEDICAL DEVICES LTD","Health Care Equipment & Services","13/12/2018",109081304
"ENA","ENSURANCE LTD","Insurance","23/09/2011",17580405
"ENN","ELANOR INVESTORS GROUP","Consumer Services","11/07/2014",250023633
"ENR","ENCOUNTER RESOURCES LIMITED","Materials","24/03/2006",181941859
"ENT","ENTERPRISE METALS LIMITED","Materials","20/06/2007",2997884
"ENV","ENOVA MINING LIMITED","Materials","13/04/2007",2345576
"ENX","ENEGEX LIMITED","Materials","08/10/2013",9591816
"EOF","ECOFIBRE LIMITED","Pharmaceuticals, Biotechnology & Life Sciences","29/03/2019",62858619
"EOL","ENERGY ONE LIMITED","Software & Services","15/01/2007",127274835
"EOS","ELECTRO OPTIC SYSTEMS HOLDINGS LIMITED","Capital Goods","23/10/2000",202914667
"EP1","E&P FINANCIAL GROUP LIMITED","Financial Services","14/05/2018",104579240
"EPM","ECLIPSE METALS LIMITED.","Energy","17/02/2011",36505076
"EPN","EPSILON HEALTHCARE LIMITED","Pharmaceuticals, Biotechnology & Life Sciences","04/05/2017",6007080
"EPX","EP&T GLOBAL LIMITED","Software & Services","12/05/2021",14269239
"EPY","EARLYPAY LTD","Financial Services","23/02/2010",57985738
"EQE","EQUUS MINING LIMITED","Materials","12/12/1995","SUSPENDED"
"EQN","EQUINOX RESOURCES LIMITED.","Materials","13/10/2021",11460000
"EQR","EQ RESOURCES LIMITED","Materials","06/06/2006",110586520
"EQS","EQUITY STORY GROUP LTD","Financial Services","03/05/2022",5349673
"EQT","EQT HOLDINGS LIMITED","Financial Services","06/08/1985",686515397
"EQX","EQUATORIAL RESOURCES LIMITED","Materials","14/05/1987",23570164
"ERA","ENERGY RESOURCES OF AUSTRALIA LIMITED","Energy","19/11/1980",841635369
"ERD","EROAD LIMITED","Technology Hardware & Equipment","18/09/2020",146515712
"ERG","ENECO REFRESH LTD","Food, Beverage & Tobacco","29/03/2006",5174809
"ERL","EMPIRE RESOURCES LIMITED","Materials","01/02/2007",5564675
"ERM","EMMERSON RESOURCES LIMITED","Materials","17/12/2007",40308524
"ERW","ERRAWARRA RESOURCES LTD","Materials","14/12/2020",6050400
"ESK","ETHERSTACK PLC","Software & Services","07/09/2012",44793981
"ESR","ESTRELLA RESOURCES LIMITED","Materials","09/05/2012",13352147
"ESS","ESSENTIAL METALS LIMITED","Materials","04/12/2003",131741384
"ETM","ENERGY TRANSITION MINERALS LTD","Materials","20/06/2006",70498689
"ETR","ENTYR LIMITED","Commercial & Professional Services","02/11/2006",17791685
"EUR","EUROPEAN LITHIUM LIMITED","Materials","02/12/2010",115721852
"EV1","EVOLUTION ENERGY MINERALS LIMITED","Materials","16/11/2021",38475000
"EVE","EVE HEALTH GROUP LIMITED.","Financial Services","08/04/2004",5274483
"EVG","EVION GROUP NL","Materials","19/01/2018",12612793
"EVN","EVOLUTION MINING LIMITED","Materials","20/08/2002",6954711849
"EVO","EMBARK EARLY EDUCATION LIMITED","Consumer Services","05/12/2014",111684639
"EVR","EV RESOURCES LTD","Materials","07/12/1994",13103777
"EVS","ENVIROSUITE LIMITED","Software & Services","11/02/2008",119871003
"EVT","EVT LIMITED","Media & Entertainment","30/06/1962",1964971496
"EVZ","EVZ LIMITED","Capital Goods","26/04/1985",18093288
"EWC","ENERGY WORLD CORPORATION LTD","Utilities","08/12/1988","SUSPENDED"
"EX1","EXOPHARM LIMITED","Pharmaceuticals, Biotechnology & Life Sciences","18/12/2018",4394231
"EXL","ELIXINOL WELLNESS LIMITED","Household & Personal Products","08/01/2018",5483896
"EXP","EXPERIENCE CO LIMITED","Consumer Services","27/03/2015",169920740
"EXR","ELIXIR ENERGY LIMITED","Energy","19/07/2004",77342497
"EYE","NOVA EYE MEDICAL LIMITED","Health Care Equipment & Services","12/10/1987",47627473
"EZL","EUROZ HARTLEYS GROUP LIMITED","Financial Services","02/08/1971",181631896
"EZZ","EZZ LIFE SCIENCE HOLDINGS LIMITED","Consumer Discretionary Distribution & Retail","03/03/2021",26690625
"FAL","FALCON METALS LTD","Materials","22/12/2021",37170000
"FAR","FAR LIMITED","Energy","23/01/1986",74086626
"FAU","FIRST AU LIMITED","Materials","01/01/1970",4355980
"FBM","FUTURE BATTERY MINERALS LIMITED","Materials","01/09/2011",44923739
"FBR","FBR LTD","Capital Goods","08/02/2001",78139757
"FBU","FLETCHER BUILDING LIMITED","Capital Goods","26/03/2001",4063996263
"FCL","FINEOS CORPORATION HOLDINGS PLC","Software & Services","16/08/2019",746638423
"FCT","FIRSTWAVE CLOUD TECHNOLOGY LIMITED","Software & Services","11/05/2011",74828110
"FDR","FINDER ENERGY HOLDINGS LIMITED","Energy","08/04/2022",11340000
"FDV","FRONTIER DIGITAL VENTURES LIMITED","Media & Entertainment","26/08/2016",184105186
"FEG","FAR EAST GOLD LTD","Materials","28/03/2022",65558218
"FEX","FENIX RESOURCES LTD","Materials","04/08/2008",208248576
"FFF","FORBIDDEN FOODS LIMITED","Food, Beverage & Tobacco","31/08/2020",2641150
"FFG","FATFISH GROUP LIMITED","Financial Services","23/11/1995",16322983
"FFI","FFI HOLDINGS LIMITED","Food, Beverage & Tobacco","15/01/1987",40458980
"FFT","FUTURE FIRST TECHNOLOGIES LTD","Commercial & Professional Services","02/12/2013",6433529
"FFX","FIREFINCH LIMITED","Materials","06/12/2006","SUSPENDED"
"FG1","FLYNN GOLD LIMITED","Materials","17/06/2021",8455720
"FGG","FUTURE GENERATION GLOBAL LIMITED","Not Applic","10/09/2015",479515071
"FGL","FRUGL GROUP LIMITED","Software & Services","10/08/2004",10516682
"FGR","FIRST GRAPHENE LIMITED","Materials","08/08/1994",46626217
"FGX","FUTURE GENERATION AUSTRALIA LIMITED","Not Applic","06/03/1997",473064850
"FHE","FRONTIER ENERGY LIMITED","Materials","18/12/2009",106144150
"FHS","FREEHILL MINING LIMITED.","Materials","16/01/2017","SUSPENDED"
"FID","FIDUCIAN GROUP LIMITED","Financial Services","09/02/2015",199253354
"FIN","FIN RESOURCES LIMITED","Materials","02/11/1989",9315530
"FLC","FLUENCE CORPORATION LIMITED","Capital Goods","18/12/2007",107341416
"FLN","FREELANCER LIMITED","Commercial & Professional Services","15/11/2013",128741457
"FLT","FLIGHT CENTRE TRAVEL GROUP LIMITED","Consumer Services","01/12/1995",5041909259
"FLX","FELIX GROUP HOLDINGS LTD","Software & Services","12/01/2021",15358532
"FME","FUTURE METALS NL","Energy","16/08/2007",12809325
"FMG","FORTESCUE METALS GROUP LTD","Materials","19/03/1987",67675648898
"FML","FOCUS MINERALS LTD","Materials","13/09/2000",55878936
"FMS","FLINDERS MINES LIMITED","Materials","20/02/2002",81047317
"FND","FINDI LIMITED","Software & Services","08/08/2001",18047013
"FNX","FINEXIA FINANCIAL GROUP LIMITED","Financial Services","21/12/2006",13670190
"FOR","FORAGER AUSTRALIAN SHARES FUND","Not Applic","16/12/2016",130942210
"FOS","FOS CAPITAL LTD","Capital Goods","07/06/2021",9685105
"FPC","FAT PROPHETS GLOBAL CONTRARIAN FUND LTD","Not Applic","22/03/2017",25018961
"FPH","FISHER & PAYKEL HEALTHCARE CORPORATION LIMITED","Health Care Equipment & Services","21/11/2001",13266336944
"FPP","FAT PROPHETS GLOBAL PROPERTY FUND","Not Applic","10/10/2017",16980443
"FPR","FLEETPARTNERS GROUP LIMITED","Financial Services","22/04/2015",689454264
"FRB","FIREBIRD METALS LIMITED","Materials","18/03/2021",9499750
"FRE","FIREBRICK PHARMA LIMITED","Pharmaceuticals, Biotechnology & Life Sciences","28/01/2022",31724412
"FRI","FINBAR GROUP LIMITED","Real Estate Management & Development","05/08/1994",193207431
"FRM","FARM PRIDE FOODS LIMITED","Food, Beverage & Tobacco","19/12/1997",17262943
"FRS","FORRESTANIA RESOURCES LIMITED","Materials","30/09/2021",10642791
"FRX","FLEXIROAM LIMITED","Telecommunication Services","16/06/2015",20571343
"FSA","FSA GROUP LIMITED","Financial Services","11/01/2001",121345588
"FSF","FONTERRA SHAREHOLDERS' FUND","Food, Beverage & Tobacco","30/11/2012",359826800
"FSG","FIELD SOLUTIONS HOLDINGS LIMITED","Telecommunication Services","26/04/2005",32077147
"FSI","FLAGSHIP INVESTMENTS LIMITED","Not Applic","20/12/2000",46413787
"FTC","FINTECH CHAIN LIMITED","Financial Services","27/11/2012",9761544
"FTL","FIRETAIL RESOURCES LIMITED","Materials","13/04/2022",8181250
"FTZ","FERTOZ LIMITED","Materials","02/09/2013",25009978
"FWD","FLEETWOOD LIMITED","Consumer Durables & Apparel","15/04/1987",194226233
"FXG","FELIX GOLD LIMITED","Materials","31/01/2022",21979662
"FYI","FYI RESOURCES LIMITED","Materials","20/01/1994",33719618
"FZR","FITZROY RIVER CORPORATION LTD","Energy","04/03/1998",18891994
"G1A","GALENA MINING LIMITED","Materials","07/09/2017",64720907
"G50","GOLD 50 LIMITED","Materials","06/08/2021",16477250
"G6M","GROUP 6 METALS LIMITED","Materials","21/09/1967",120325174
"G88","GOLDEN MILE RESOURCES LTD","Materials","19/06/2017",13504970
"GAL","GALILEO MINING LTD","Materials","29/05/2018",99800588
"GAP","GALE PACIFIC LIMITED","Consumer Durables & Apparel","14/12/2000",60806469
"GAS","STATE GAS LIMITED","Energy","10/10/2017",40469815
"GBE","GLOBE METALS & MINING LIMITED","Materials","09/12/2005",34967040
"GBR","GREAT BOULDER RESOURCES LIMITED","Materials","18/11/2016",35802247
"GBZ","GBM RESOURCES LIMITED","Materials","24/10/2007",11087301
"GC1","GLENNON SMALL COMPANIES LIMITED","Not Applic","21/08/2015",26684063
"GCI","GRYPHON CAPITAL INCOME TRUST","Not Applic","25/05/2018",479028988
"GCM","GREEN CRITICAL MINERALS LIMITED","Materials","15/11/2007",14797179
"GCR","GOLDEN CROSS RESOURCES LTD","Materials","27/03/1996",4389024
"GCX","GCX METALS LIMITED","Energy","20/12/2012",5201803
"GCY","GASCOYNE RESOURCES LIMITED","Materials","11/12/2009",223638342
"GDA","GOOD DRINKS AUSTRALIA LTD","Food, Beverage & Tobacco","13/12/2006",60319013
"GDC","GLOBAL DATA CENTRE GROUP","Not Applic","31/10/2019",133681944
"GDF","GARDA PROPERTY GROUP","Equity Real Estate Investment Trusts (REITs)","02/07/2015",279499926
"GDG","GENERATION DEVELOPMENT GROUP LIMITED","Insurance","11/12/2007",253429798
"GDI","GDI PROPERTY GROUP","Equity Real Estate Investment Trusts (REITs)","17/12/2013",353508921
"GED","GOLDEN DEEPS LIMITED.","Materials","04/12/1986",9241814
"GEM","G8 EDUCATION LIMITED","Consumer Services","05/12/2007",894504278
"GEN","GENMIN LIMITED","Materials","10/03/2021",81275982
"GES","GENESIS RESOURCES LIMITED","Materials","27/10/2009",3131365
"GFL","GLOBAL MASTERS FUND LIMITED","Not Applic","16/05/2006",27022361
"GFN","GEFEN INTERNATIONAL A.I. LTD","Software & Services","21/07/2021",769679
"GGE","GRAND GULF ENERGY LIMITED","Energy","20/03/1998",18427717
"GGX","GAS2GRID LIMITED","Energy","13/05/2005",8178204
"GHY","GOLD HYDROGEN LIMITED","Energy","13/01/2023",42000000
"GIB","GIBB RIVER DIAMONDS LIMITED","Materials","01/07/2008",6768302
"GL1","GLOBAL LITHIUM RESOURCES LIMITED","Materials","06/05/2021",462431894
"GLA","GLADIATOR RESOURCES LIMITED","Materials","27/06/2006",9452749
"GLB","GLOBE INTERNATIONAL LIMITED","Consumer Durables & Apparel","24/05/2001",91220400
"GLE","GLG CORP LTD","Consumer Durables & Apparel","14/12/2005",14820000
"GLH","GLOBAL HEALTH LIMITED","Health Care Equipment & Services","04/04/2000",10448916
"GLL","GALILEE ENERGY LIMITED","Energy","15/02/1996",33176675
"GLN","GALAN LITHIUM LIMITED","Materials","08/06/2011",260003627
"GLV","GLOBAL OIL & GAS LIMITED","Energy","25/05/2005",6000394
"GMD","GENESIS MINERALS LIMITED","Materials","02/08/2007",1527775235
"GMG","GOODMAN GROUP","Equity Real Estate Investment Trusts (REITs)","02/02/2005",38938556982
"GML","GATEWAY MINING LIMITED","Materials","02/08/1971",11186009
"GMN","GOLD MOUNTAIN LIMITED","Materials","02/09/2011",18152629
"GMR","GOLDEN RIM RESOURCES LTD","Materials","13/08/1987",16564474
"GNC","GRAINCORP LIMITED","Consumer Staples Distribution & Retail","30/03/1998",1808156196
"GNE","GENESIS ENERGY LIMITED","Utilities","17/04/2014",2631221749
"GNG","GR ENGINEERING SERVICES LIMITED","Materials","19/04/2011",363526317
"GNM","GREAT NORTHERN MINERALS LIMITED","Materials","05/03/2008",5412018
"GNP","GENUSPLUS GROUP LTD","Capital Goods","14/12/2020",208826814
"GNX","GENEX POWER LIMITED","Utilities","08/07/2015",214702457
"GO2","THE GO2 PEOPLE LTD","Commercial & Professional Services","31/10/2017","SUSPENDED"
"GOR","GOLD ROAD RESOURCES LIMITED","Materials","04/07/2006",1844100579
"GOW","GOWING BROS LIMITED","Financial Services","31/07/1962",133810924
"GOZ","GROWTHPOINT PROPERTIES AUSTRALIA","Equity Real Estate Investment Trusts (REITs)","04/07/2007",2148477670
"GPR","GEOPACIFIC RESOURCES LTD","Materials","09/05/2006",11496676
"GPS","GPS ALLIANCE HOLDINGS LIMITED","Real Estate Management & Development","02/07/2013","SUSPENDED"
"GPT","GPT GROUP","Equity Real Estate Investment Trusts (REITs)","01/04/1971",8313606046
"GQG","GQG PARTNERS INC.","Financial Services","26/10/2021",4724488694
"GRE","GREENTECH METALS LIMITED","Materials","04/01/2022",23035833
"GRL","GODOLPHIN RESOURCES LIMITED","Materials","18/12/2019",5415731
"GRR","GRANGE RESOURCES LIMITED.","Materials","27/03/1986",607602816
"GRV","GREENVALE ENERGY LTD","Energy","28/07/1971",43275724
"GRX","GREENX METALS LIMITED","Materials","06/09/1993",272878939
"GSM","GOLDEN STATE MINING LIMITED","Materials","08/11/2018",5923737
"GSN","GREAT SOUTHERN MINING LIMITED","Materials","14/04/2011",14303473
"GSR","GREENSTONE RESOURCES LIMITED","Materials","12/12/2000",17432412
"GSS","GENETIC SIGNATURES LIMITED","Pharmaceuticals, Biotechnology & Life Sciences","31/03/2015",88911718
"GT1","GREEN TECHNOLOGY METALS LIMITED","Materials","10/11/2021",176733308
"GTE","GREAT WESTERN EXPLORATION LIMITED.","Materials","05/06/2007",14151095
"GTG","GENETIC TECHNOLOGIES LIMITED","Pharmaceuticals, Biotechnology & Life Sciences","30/07/1987",28854145
"GTI","GRATIFII LIMITED","Software & Services","17/07/2008",15774558
"GTK","GENTRACK GROUP LIMITED","Software & Services","25/06/2014",423197570
"GTN","GTN LIMITED","Media & Entertainment","01/06/2016",86762467
"GTR","GTI ENERGY LTD","Materials","10/08/2007",13634279
"GUD","G.U.D. HOLDINGS LIMITED","Automobiles & Components","30/06/1962",1396266437
"GUL","GULLEWA LIMITED","Materials","19/06/1980",10767521
"GVF","GLOBAL VALUE FUND LIMITED","Not Applic","21/07/2014",197617341
"GW1","GREENWING RESOURCES LTD","Materials","20/10/2005",35418026
"GWA","GWA GROUP LIMITED.","Capital Goods","20/05/1993",521128047
"GWR","GWR GROUP LIMITED","Materials","24/12/2004",30194366
"H2G","GREENHY2 LIMITED","Commercial & Professional Services","04/12/1980",6281337
"HAL","HALO TECHNOLOGIES HOLDINGS LTD","Financial Services","26/04/2022",12949521
"HAR","HARANGA RESOURCES LIMITED.","Materials","27/01/2022",7214434
"HAS","HASTINGS TECHNOLOGY METALS LTD","Materials","20/02/2008",157071132
"HAV","HAVILAH RESOURCES LIMITED","Materials","21/03/2002",87075783
"HAW","HAWTHORN RESOURCES LIMITED","Materials","03/07/1986",40201874
"HCD","HYDROCARBON DYNAMICS LIMITED","Energy","21/04/2006",6496659
"HCF","H&G HIGH CONVICTION LIMITED","Not Applic","25/10/2022",24558239
"HCH","HOT CHILI LIMITED","Materials","03/05/2010",179167809
"HCT","HOLISTA COLLTECH LIMITED","Household & Personal Products","26/02/2004",3345601
"HCW","HEALTHCO HEALTHCARE AND WELLNESS REIT","Equity Real Estate Investment Trusts (REITs)","06/09/2021",787938900
"HDN","HOMECO DAILY NEEDS REIT","Equity Real Estate Investment Trusts (REITs)","23/11/2020",2478870089
"HE8","HELIOS ENERGY LTD","Energy","20/10/2010",171867263
"HFR","HIGHFIELD RESOURCES LIMITED","Materials","07/02/2012",192170029
"HFY","HUBIFY LIMITED","Telecommunication Services","12/01/2017",14884089
"HGH","HEARTLAND GROUP HOLDINGS LIMITED","Banks","01/11/2018",1178032612
"HGL","HUDSON INVESTMENT GROUP LIMITED","Real Estate Management & Development","09/06/1994",11871987
"HGO","HILLGROVE RESOURCES LIMITED","Materials","22/07/1994",139573884
"HGV","HYGROVEST LIMITED","Not Applic","22/01/2015",9674288
"HHR","HARTSHEAD RESOURCES NL","Energy","14/02/2012",73025735
"HIL","HILLS LIMITED","Technology Hardware & Equipment","30/06/1962","SUSPENDED"
"HIO","HAWSONS IRON LTD","Materials","14/11/2007",34924700
"HIQ","HITIQ LIMITED","Health Care Equipment & Services","16/06/2021",6135924
"HIT","HITECH GROUP AUSTRALIA LIMITED","Commercial & Professional Services","17/04/2000",88620000
"HLA","HEALTHIA LIMITED","Health Care Equipment & Services","11/09/2018",135986218
"HLI","HELIA GROUP LIMITED","Financial Services","20/05/2014",1206935441
"HLO","HELLOWORLD TRAVEL LIMITED","Consumer Services","13/09/2000",449580751
"HLS","HEALIUS LIMITED","Health Care Equipment & Services","03/07/1998",1646425547
"HLX","HELIX RESOURCES LIMITED","Materials","22/05/1986",11615729
"HM1","HEARTS AND MINDS INVESTMENTS LIMITED","Not Applic","14/11/2018",546837784
"HMC","HMC CAPITAL LIMITED","Equity Real Estate Investment Trusts (REITs)","14/10/2019",1804111771
"HMD","HERAMED LIMITED","Health Care Equipment & Services","12/12/2018",22640649
"HMG","HAMELIN GOLD LIMITED","Materials","05/11/2021",14962500
"HMI","HIREMII LIMITED","Commercial & Professional Services","11/05/2021",5393760
"HMX","HAMMER METALS LIMITED","Materials","25/02/2003",54729922
"HMY","HARMONEY CORP LIMITED","Financial Services","19/11/2020",45192236
"HNG","HANCOCK & GORE LTD","Capital Goods","24/08/1971",67608698
"HNR","HANNANS LTD","Materials","05/12/2003",37093160
"HOR","HORSESHOE METALS LIMITED","Materials","29/07/2010",7078265
"HPC","THE HYDRATION PHARMACEUTICALS COMPANY LIMITED","Household & Personal Products","14/12/2021",9859088
"HPG","HIPAGES GROUP HOLDINGS LTD","Media & Entertainment","12/11/2020",129117012
"HPI","HOTEL PROPERTY INVESTMENTS","Equity Real Estate Investment Trusts (REITs)","10/12/2013",590663452
"HPP","HEALTH AND PLANT PROTEIN GROUP LIMITED","Food, Beverage & Tobacco","14/12/1989",6018216
"HPR","HIGH PEAK ROYALTIES LIMITED","Energy","30/03/2007",13582166
"HRE","HEAVY RARE EARTHS LIMITED","Class Pend","24/08/2022",7510267
"HRN","HORIZON GOLD LIMITED","Materials","21/12/2016",43813574
"HRZ","HORIZON MINERALS LIMITED","Materials","06/02/1992",23697445
"HSN","HANSEN TECHNOLOGIES LIMITED","Software & Services","01/06/2000",1044199956
"HT8","HARRIS TECHNOLOGY GROUP LIMITED","Transportation","24/06/1999",4187897
"HTA","HUTCHISON TELECOMMUNICATIONS (AUSTRALIA) LIMITED","Telecommunication Services","17/08/1999",610762886
"HTG","HARVEST TECHNOLOGY GROUP LTD","Technology Hardware & Equipment","12/05/2016",26854471
"HTM","HIGH-TECH METALS LTD","Materials","23/01/2023",5911202
"HUB","HUB24 LIMITED","Financial Services","05/07/2007",2282880487
"HUM","HUMM GROUP LIMITED","Financial Services","12/12/2006",229408511
"HVM","HAPPY VALLEY NUTRITION LIMITED","Food, Beverage & Tobacco","23/01/2020","SUSPENDED"
"HVN","HARVEY NORMAN HOLDINGS LIMITED","Consumer Discretionary Distribution & Retail","03/09/1987",4734825285
"HVY","HEAVY MINERALS LIMITED","Materials","14/09/2021",8355417
"HXG","HEXAGON ENERGY MATERIALS LIMITED","Materials","30/10/2008","SUSPENDED"
"HXL","HEXIMA LIMITED.","Pharmaceuticals, Biotechnology & Life Sciences","01/12/2020",3173753
"HYD","HYDRIX LIMITED","Technology Hardware & Equipment","11/05/2001",7626565
"HYT","HYTERRA LTD","Energy","14/12/2005",12335463
"HZN","HORIZON OIL LIMITED","Energy","30/06/1981",248223659
"HZR","HAZER GROUP LIMITED","Materials","02/12/2015",98005152
"IAG","INSURANCE AUSTRALIA GROUP LIMITED","Insurance","08/08/2000",14545651466
"IAM","INCOME ASSET MANAGEMENT GROUP LIMITED.","Financial Services","14/01/1987",42003123
"IBC","IRONBARK CAPITAL LIMITED","Not Applic","02/04/1987",50442726
"IBG","IRONBARK ZINC LTD","Materials","16/08/2006",11734274
"IBX","IMAGION BIOSYSTEMS LIMITED","Health Care Equipment & Services","22/06/2017",20892265
"ICE","ICETANA LIMITED","Software & Services","23/12/2019",7973137
"ICG","INCA MINERALS LIMITED","Materials","19/06/2008",16490339
"ICI","ICANDY INTERACTIVE LIMITED","Media & Entertainment","04/02/2016",61741461
"ICL","ICENI GOLD LIMITED","Materials","14/04/2021",22942857
"ICN","ICON ENERGY LIMITED","Energy","22/09/1997",3840068
"ICR","INTELICARE HOLDINGS LIMITED","Health Care Equipment & Services","25/05/2020",2527415
"ID8","IDENTITII LIMITED","Software & Services","17/10/2018",3617574
"IDA","INDIANA RESOURCES LIMITED","Materials","17/07/1986",33747592
"IDT","IDT AUSTRALIA LIMITED","Pharmaceuticals, Biotechnology & Life Sciences","18/02/1991",22803987
"IDX","INTEGRAL DIAGNOSTICS LIMITED","Health Care Equipment & Services","21/10/2015",689766900
"IEC","INTRA ENERGY CORPORATION LIMITED","Energy","04/07/2007",6483126
"IEL","IDP EDUCATION LIMITED","Consumer Services","26/11/2015",6891604584
"IEQ","INTERNATIONAL EQUITIES CORPORATION LIMITED.","Real Estate Management & Development","11/03/1993",4359602
"IFL","INSIGNIA FINANCIAL LTD","Financial Services","05/12/2003",1987794726
"IFM","INFOMEDIA LTD","Software & Services","16/08/2000",642595770
"IFT","INFRATIL LIMITED.","Capital Goods","30/08/2010",7586836681
"IG6","INTERNATIONAL GRAPHITE LIMITED","Capital Goods","07/04/2022",33231666
"IGL","IVE GROUP LIMITED","Media & Entertainment","16/12/2015",355904706
"IGN","IGNITE LIMITED","Commercial & Professional Services","16/01/1997",3762451
"IGO","IGO LIMITED","Materials","17/01/2002",10783493657
"IHL","INCANNEX HEALTHCARE LIMITED","Pharmaceuticals, Biotechnology & Life Sciences","23/05/2007",166636087
"IIQ","INOVIQ LTD","Health Care Equipment & Services","18/04/1991",74075055
"IKE","IKEGPS GROUP LIMITED","Technology Hardware & Equipment","21/11/2016",104015820
"ILA","ISLAND PHARMACEUTICALS LIMITED","Pharmaceuticals, Biotechnology & Life Sciences","13/04/2021",7639236
"ILT","ILTANI RESOURCES LIMITED.","Materials","30/06/2023",13134644
"ILU","ILUKA RESOURCES LIMITED","Materials","30/06/1962",4353850877
"IMA","IMAGE RESOURCES NL","Materials","04/07/2002",108332807
"IMB","INTELLIGENT MONITORING GROUP LIMITED","Commercial & Professional Services","03/03/1994",55533007
"IMC","IMMURON LIMITED","Pharmaceuticals, Biotechnology & Life Sciences","30/04/1999",16857078
"IMD","IMDEX LIMITED","Materials","24/09/1987",1014397192
"IME","IMEXHS LIMITED","Health Care Equipment & Services","14/12/2005",24931358
"IMI","INFINITY MINING LIMITED","Materials","22/12/2021",15868308
"IMM","IMMUTEP LIMITED","Pharmaceuticals, Biotechnology & Life Sciences","23/06/1988",368064925
"IMR","IMRICOR MEDICAL SYSTEMS INC.","Health Care Equipment & Services","30/08/2019",89745057
"IMU","IMUGENE LIMITED","Pharmaceuticals, Biotechnology & Life Sciences","24/11/1993",642303911
"INA","INGENIA COMMUNITIES GROUP","Equity Real Estate Investment Trusts (REITs)","01/07/2004",1671091382
"IND","INDUSTRIAL MINERALS LTD","Materials","13/07/2021",33773250
"INF","INFINITY LITHIUM CORPORATION LIMITED","Materials","15/04/2011",53198091
"ING","INGHAMS GROUP LIMITED","Food, Beverage & Tobacco","07/11/2016",1040702883
"INL","INNLANZ LIMITED","Consumer Discretionary Distribution & Retail","22/02/2019",8458117
"INP","INCENTIAPAY LIMITED","Media & Entertainment","09/09/2014",7590382
"INR","IONEER LTD","Materials","19/12/2007",632823837
"INV","INVESTSMART GROUP LIMITED","Financial Services","21/04/2005",21182880
"IOD","IODM LIMITED","Software & Services","18/11/2003",214800923
"IOU","IOUPAY LIMITED","Media & Entertainment","12/10/2000","SUSPENDED"
"IPB","IPB PETROLEUM LIMITED","Energy","30/04/2013",5086102
"IPC","IMPERIAL PACIFIC LIMITED","Financial Services","28/07/1971",5685878
"IPD","IMPEDIMED LIMITED","Health Care Equipment & Services","24/10/2007",393662404
"IPG","IPD GROUP LTD","Capital Goods","17/12/2021",409556841
"IPH","IPH LIMITED","Commercial & Professional Services","19/11/2014",1869451682
"IPL","INCITEC PIVOT LIMITED","Materials","28/07/2003",5884941838
"IPT","IMPACT MINERALS LIMITED","Materials","29/11/2006",42670558
"IPX","IPERIONX LIMITED","Materials","16/04/2018",205103611
"IR1","IRIS METALS LIMITED","Materials","23/09/2021",179579400
"IRD","IRON ROAD LIMITED","Materials","12/06/2008",71813341
"IRE","IRESS LIMITED","Software & Services","03/11/2000",1951950003
"IRI","INTEGRATED RESEARCH LIMITED","Software & Services","13/12/2000",77886310
"IRX","INHALERX LIMITED","Health Care Equipment & Services","11/01/2017",6641843
"IS3","I SYNERGY GROUP LIMITED","Software & Services","30/03/2017",3468964
"ITM","ITECH MINERALS LTD","Materials","21/10/2021",27491301
"IVC","INVOCARE LIMITED","Consumer Services","04/12/2003",1756100335
"IVO","INVIGOR GROUP LIMITED","Media & Entertainment","03/12/1999","SUSPENDED"
"IVR","INVESTIGATOR RESOURCES LTD","Materials","03/04/2007",70421331
"IVT","INVENTIS LIMITED","Commercial & Professional Services","14/04/1999",2590306
"IVX","INVION LIMITED","Pharmaceuticals, Biotechnology & Life Sciences","15/02/2010",38529793
"IVZ","INVICTUS ENERGY LTD","Energy","19/01/2012",182975490
"IXC","INVEX THERAPEUTICS LTD","Pharmaceuticals, Biotechnology & Life Sciences","05/07/2019",13903462
"IXR","IONIC RARE EARTHS LIMITED","Materials","10/12/1999",86814308
"IXU","IXUP LIMITED","Software & Services","15/11/2017",64200546
"JAL","JAMESON RESOURCES LIMITED","Materials","18/12/2007",19967066
"JAN","JANISON EDUCATION GROUP LIMITED","Software & Services","12/09/2000",108676220
"JAT","JATCORP LIMITED","Consumer Discretionary Distribution & Retail","30/01/2008",29975422
"JAV","JAVELIN MINERALS LIMITED","Materials","09/10/2012",9454153
"JAY","JAYRIDE GROUP LIMITED","Transportation","29/01/2018",22400158
"JBH","JB HI-FI LIMITED","Consumer Discretionary Distribution & Retail","23/10/2003",5087310136
"JCS","JCURVE SOLUTIONS LTD","Software & Services","08/12/2000",14447111
"JDO","JUDO CAPITAL HOLDINGS LIMITED","Banks","01/11/2021",1503507026
"JGH","JADE GAS HOLDINGS LIMITED","Materials","13/02/1995",64650201
"JHG","JANUS HENDERSON GROUP PLC","Financial Services","27/10/2008",7693007432
"JHX","JAMES HARDIE INDUSTRIES PLC","Materials","15/10/2001",18912053040
"JIN","JUMBO INTERACTIVE LIMITED","Consumer Services","14/06/1972",960458476
"JLG","JOHNS LYNG GROUP LIMITED","Capital Goods","26/10/2017",1445559486
"JMS","JUPITER MINES LIMITED.","Materials","18/04/2018",391798207
"JNO","JUNO MINERALS LIMITED","Materials","14/05/2021",10234350
"JPR","JUPITER ENERGY LIMITED","Energy","12/11/2003",23367152
